Winery;Year;Wine ID;Wine;Type;Rating;Num_Reviews;Price;Country;Region
Colinas de São Lourenço;2008;1548080;Principal Grande Reserva Bairrada 2008;Red;4.3;458;190.0;Portugal;Bairrada
Alves de Sousa;2008;1721323;Reserva Pessoal Tinto 2008;Red;4.4;308;65.0;Portugal;Douro
Duorum;2008;1905131;O.Leucura Cota 200 Reserva 2008;Red;4.5;120;99.0;Portugal;Douro
Duorum;2008;2314930;O.Leucura Cota 400 Reserva 2008;Red;4.5;118;99.0;Portugal;Douro
Quinta do Vale Meão;2008;1142315;Douro 2008;Red;4.6;514;325.0;Portugal;Douro
Cartuxa;2008;2545450;Pêra-Manca Tinto 2008;Red;4.7;3450;540.0;Portugal;Alentejo
Encontro;2009;75651;Q do E Preto Branco Reserva 2009;Red;3.5;62;18.95;Portugal;Bairrada
Quinta do Soque;2009;1240120;Tinto 2009;Red;3.5;127;7.5;Portugal;Douro
Regateiro;2009;1576811;Tinto 2009;Red;3.6;65;12.95;Portugal;Bairrada
Dona Maria;2009;1143599;Tinto 2009;Red;3.7;178;49.89;Portugal;Alentejo
Quinta do Portal;2009;18476;Touriga Nacional Douro Red 2009;Red;3.7;71;35.0;Portugal;Douro
Adega Regional de Colares;2009;1438794;Arenae Tinto 2009;Red;3.8;99;37.0;Portugal;Colares
Azamor;2009;2415397;Selected Vines 2009;Red;3.8;73;28.25;Portugal;Alentejo
Encostas de Estremoz;2009;1644720;Reserva 2009;Red;3.9;177;28.0;Portugal;Alentejo
Quinta do Pôpa;2009;1194094;Pôpa VV Vinhas Velhas 2009;Red;4.2;173;26.95;Portugal;Douro
Oboé;2009;1184243;Grande Escolha 2009;Red;4.3;80;52.0;Portugal;Douro
Quinta do Noval;2009;1302544;Touriga Nacional Douro 2009;Red;4.3;228;55.0;Portugal;Douro
Paulo Laureano;2009;1758652;Vidigueira Reserve Vinea Julieta Talhão 24 Tinto 2009;Red;4.3;160;67.0;Portugal;Alentejo
Quinta do Portal;2009;18474;Auru 2009;Red;4.4;144;84.75;Portugal;Douro
Casa de Santar;2009;1200547;Conde De Santar 2009;Red;4.4;286;49.95;Portugal;Beiras
Sagrado;2009;5148631;Vinhas Velhas Tinto 2009;Red;4.4;179;29.5;Portugal;Douro
Casa Ferreirinha;2009;1319400;Antónia Adelaide Ferreira Douro 2009;Red;4.6;221;95.0;Portugal;Douro
Cartuxa;2009;76429;Scala Coeli Tinto 2009;Red;4.6;245;65.0;Portugal;Alentejo
Casa Ferreirinha;2009;75979;Reserva Especial Douro 2009;Red;4.7;1188;399.0;Portugal;Douro
Quinta do Crasto;2009;1293594;Vinha Maria Teresa 2009;Red;4.7;132;410.0;Portugal;Douro
Torre de Coimbra;2010;1911299;Bairrada Tinto 2010;Red;3.2;129;8.7;Portugal;Bairrada
Quinta do Crasto;2010;45244;Crasto Red 2010;Red;3.2;794;14.0;Portugal;Douro
Luis Pato;2010;1510608;Baga - Touriga Nacional 2010;Red;3.3;248;22.9;Portugal;Beiras
Solar do Prado;2010;1798484;Tinto 2010;Red;3.4;70;9.5;Portugal;Douro
Quinta do Quetzal;2010;1910087;Guadalupe Winemaker's Selection Tinto 2010;Red;3.5;157;10.95;Portugal;Alentejo
Quinta da Pellada;2010;1736138;Álvaro Castro Tinto 2010;Red;3.6;199;16.94;Portugal;Dão
Torre do Frade;2010;1483635;Family Edition Virgo Tinto 2010;Red;3.6;90;11.95;Portugal;Alentejo
Brites Aguiar;2010;2327107;Bafarela Reserva 2010;Red;3.7;160;8.5;Portugal;Douro
Lagoalva;2010;2048105;Touriga Nacional - Castelao 2010;Red;3.7;120;15.95;Portugal;Tejo
Luis Pato;2010;1317643;AM Branco Sweet 2010;Dessert;3.8;55;16.17;Portugal;Beiras
Quinta do Valdoeiro;2010;20599;Syrah 2010;Red;3.8;136;19.94;Portugal;Bairrada
Quinta das Camelias;2010;1782961;Touriga Nacional 2010;Red;3.8;92;12.9;Portugal;Dão
Vinha de Reis;2010;1184854;Touriga Nacional 2010;Red;3.8;100;12.85;Portugal;Dão
Adega Regional de Colares;2010;1438794;Arenae Tinto 2010;Red;3.9;89;32.0;Portugal;Colares
Quinta do Monte d'Oiro;2010;1203197;Lybra Syrah 2010;Red;3.9;247;14.9;Portugal;Lisboa
Ramos Pinto;2010;1308697;Reserva Duas Quintas Tinto 2010;Red;3.9;409;32.83;Portugal;Douro
Paulo Laureano;2010;1252796;Selectio Grossa 2010;Red;3.9;333;38.0;Portugal;Alentejo
Esporão;2010;1105366;Esporão Reserva Tinto 2010;Red;4.0;3110;40.0;Portugal;Alentejo
Herdade da Calada;2010;1187290;Touriga Nacional - Syrah 2010;Red;4.0;67;20.0;Portugal;Alentejo
Herdade do Portocarro;2010;1200540;Cavalo Maluco Tinto 2010;Red;4.1;345;65.0;Portugal;Península de Setúbal
Quinta Mendes Pereira;2010;1245984;Reserva Touriga Nacional 2010;Red;4.1;85;30.06;Portugal;Dão
Conceito;2010;2243228;Tinto 2010;Red;4.1;84;35.0;Portugal;Douro
Romano Cunha;2010;4316385;Tinto 2010;Red;4.2;193;42.5;Portugal;Trás-os-Montes
Azamor;2010;1596770;Icon d'Azamor 2010;Red;4.3;73;59.19;Portugal;Alentejo
Quinta do Crasto;2010;1751269;Touriga Nacional 2010;Red;4.3;465;179.9;Portugal;Douro
Quinta do Crasto;2010;45284;Tinta Roriz 2010;Red;4.4;411;179.9;Portugal;Douro
Quinta do Crasto;2010;1322600;Vinha da Ponte 2010;Red;4.6;236;325.0;Portugal;Douro
Quinta do Cardo;2011;1171515;Tinto 2011;Red;3.1;1122;9.19;Portugal;Beiras
Krohn;2011;1480880;Valtorto Douro 2011;Red;3.2;72;6.49;Portugal;Douro
Messias;2011;20531;Bairrada Selection Red 2011;Red;3.3;50;4.95;Portugal;Bairrada
Casa de Cello;2011;1323947;Quinta da Vegia Tinto 2011;Red;3.5;198;14.48;Portugal;Dão
Herdade do Sobroso;2011;1208733;Tinto 2011;Red;3.5;133;5.75;Portugal;Alentejo
Quinta do Gradil;2011;1514702;Cabernet Sauvignon - Tinto Roriz 2011;Red;3.6;80;5.5;Portugal;Lisboa
Casa da Passarella;2011;1950627;Abanico Reserva 2011;Red;3.7;261;18.0;Portugal;Dão
Sociedade Agrícola de Pias;2011;1197707;Encostas do Enxoé Reserva Tinto 2011;Red;3.7;100;25.0;Portugal;Alentejo
Encosta do Sobral;2011;1183127;Reserva 2011;Red;3.7;173;10.95;Portugal;Tejo
Quinta do Estanho;2011;1223109;Reserva Tinto 2011;Red;3.7;140;19.95;Portugal;Douro
Quinta de Pancas;2011;1221963;Grande Escolha 2011;Red;3.8;324;27.75;Portugal;Lisboa
Rovisco Garcia;2011;1510031;Reserva 2011;Red;3.8;68;11.95;Portugal;Alentejo
Casa d'Arrochella;2011;2604436;Vilaflor Reserva 2011;Red;3.8;385;10.95;Portugal;Douro
Quinta de Chocapalha;2011;1206872;Mar da Palha Tinto 2011;Red;3.9;197;8.99;Portugal;Lisboa
Herdade da Ajuda;2011;2658364;Reserva Tinto 2011;Red;3.9;127;20.0;Portugal;Alentejo
Encosta do Vale Galego;2011;2294535;Reserva Touriga Nacional - Cabernet Sauvignon 2011;Red;3.9;74;13.95;Portugal;Tejo
Campolargo;2011;78248;Pinot Noir 2011;Red;4.0;64;26.0;Portugal;Bairrada
Quinta das Carvalhas;2011;1647655;Douro 'Carvalhas' Tinta Francisca 2011;Red;4.1;92;39.9;Portugal;Douro
Quinta dos Termos;2011;5769213;Grande Escolha Tinto 2011;Red;4.1;140;28.0;Portugal;Beiras
Piano;2011;1566747;Grande Reserva 2011;Red;4.1;114;49.5;Portugal;Douro
Quinta dos Carvalhais;2011;1212663;Jaen Dão 2011;Red;4.1;133;34.26;Portugal;Dão
Horta Osorio;2011;1881975;Reserva Tinto 2011;Red;4.1;65;19.5;Portugal;Douro
Quinta Mendes Pereira;2011;7201024;Reserva Touriga Nacional - Alfrocheiro 2011;Red;4.1;122;22.0;Portugal;Dão
Paulo Laureano;2011;1252796;Selectio Grossa 2011;Red;4.1;103;42.0;Portugal;Alentejo
Casa de Santar;2011;5422421;Vinha dos Amores Touriga Nacional 2011;Red;4.1;189;32.0;Portugal;Dão
Cadão;2011;6334089;Vinhas Velhas 2011;Red;4.1;213;25.0;Portugal;Douro
Ervideira;2011;2045239;Conde d'Ervideira Private Selection Tinto 2011;Red;4.2;316;30.0;Portugal;Alentejo
Esporão;2011;1803078;Esporão Private Selection Tinto 2011;Red;4.2;3333;79.95;Portugal;Alentejo
Quinta da Falorca;2011;1497327;Garrafeira Old Vines 2011;Red;4.2;261;65.0;Portugal;Dão
Quinta de Sant'Ana;2011;1214295;Reserva 2011;Red;4.2;52;60.0;Portugal;Lisboa
Cortes de Cima;2011;8036;Reserva Tinto 2011;Red;4.2;606;75.0;Portugal;Alentejo
Dulcinea Santos Ferreira;2011;1268135;Sidónio de Sousa Garrafeira 2011;Red;4.2;375;35.95;Portugal;Bairrada
Luis Pato;2011;1317643;AM Branco Sweet 2011;Dessert;4.3;57;13.11;Portugal;Beiras
Luis Pato;2011;22317;Baga Beiras Quinta do Ribeirinho Pé Franco 2011;Red;4.3;57;150.0;Portugal;Beiras
Niepoort;2011;1267265;Doda 2011;Red;4.3;319;92.49;Portugal;Dão
João M Barbosa;2011;1957956;Lapa dos Gaivões Grande Reserva 2011;Red;4.3;108;31.8;Portugal;Alentejo
Quinta da Romaneira;2011;1201768;Reserva Tinto 2011;Red;4.3;320;45.0;Portugal;Douro
Quinta de Foz de Arouce;2011;1245987;Vinhas Velhas de Santa Maria 2011;Red;4.4;193;169.5;Portugal;Beiras
Cantanhede;2011;3879830;2221 Terroir 2011;Red;4.5;337;146.4;Portugal;Bairrada
Prats & Symington (P+S);2011;1240543;Chryseia Douro 2011;Red;4.5;1306;390.0;Portugal;Douro
Cortes de Cima;2011;8039;Incógnito 2011;Red;4.5;897;149.5;Portugal;Alentejo
Colinas de São Lourenço;2011;1548080;Principal Grande Reserva Bairrada 2011;Red;4.5;1169;130.0;Portugal;Bairrada
Carregosa;2011;6009614;Reserva Especial Origens 2011;Red;4.5;391;38.5;Portugal;Douro
Duorum;2011;5402653;O.Leucura Reserva 2011;Red;4.6;115;139.9;Portugal;Douro
Douro Boys;2011;1639135;Cuvée 2011;Red;4.8;123;888.0;Portugal;Douro
José Maria da Fonseca;2012;94438;Terras Altas Dão 2012;Red;3.1;596;3.11;Portugal;Dão
Quinta do Bucheiro;2012;1577300;Ceirós Tinto 2012;Red;3.2;115;3.95;Portugal;Douro
Casa Agrícola HMR;2012;1397230;Pousio Tinto 2012;Red;3.3;187;30.0;Portugal;Alentejo
Colinas de São Lourenço;2012;1230185;Bairrada Red 2012;Red;3.4;161;22.4;Portugal;Bairrada
Parceria;2012;1286435;Tinto 2012;Red;3.4;58;11.95;Portugal;Douro
Messias;2012;20563;Douro Quinta do Cachão Tinto 2012;Red;3.5;103;14.83;Portugal;Douro
Encostas do Douro;2012;1505115;Paço da Serviçaria Tinto 2012;Red;3.5;262;4.49;Portugal;Douro
Outeiros Altos;2012;1769474;Tinto 2012;Red;3.5;144;12.88;Portugal;Alentejo
Sexy;2012;1177824;Tinto 2012;Red;3.5;335;21.82;Portugal;Alentejo
Monsaraz;2012;1880102;Alicante Bouschet Alentejo 2012;Red;3.6;134;7.45;Portugal;Alentejo
Caves Velhas;2012;1180688;Cabeça de Toiro Reserva Tinto 2012;Red;3.6;2783;5.35;Portugal;Tejo
Titular;2012;2867649;Reserva 2012;Red;3.6;109;11.27;Portugal;Dão
Quinta dos Avidagos;2012;1241948;Tinto 2012;Red;3.6;76;17.14;Portugal;Douro
Herdade de Coelheiros;2012;1235325;Vinha da Tapada Coelheiros 2012;Red;3.6;371;44.95;Portugal;Alentejo
Rovisco Garcia;2012;1620614;Alentejano Tinto 2012;Red;3.7;97;6.95;Portugal;Alentejo
Vadio;2012;1265507;Tinto 2012;Red;3.7;344;17.95;Portugal;Bairrada
Casa de Santa Vitoria;2012;2017939;Touriga Nacional 2012;Red;3.7;88;19.95;Portugal;Alentejo
Eirados;2012;3683647;Touriga Nacional 2012;Red;3.7;87;13.45;Portugal;Douro
Alves de Sousa;2012;1183222;Vale da Raposa Reserva Tinto 2012;Red;3.7;461;10.95;Portugal;Douro
Pacheca;2012;2188922;Douro Superior Tinto 2012;Red;3.8;888;40.0;Portugal;Douro
Niepoort;2012;8976;Douro Vertente Tinto 2012;Red;3.8;247;37.5;Portugal;Douro
Churchill's;2012;1434566;Estates Douro 2012;Red;3.8;1286;13.45;Portugal;Douro
Mouchão;2012;1243698;Ponte Das Canas 2012;Red;3.8;640;25.0;Portugal;Alentejo
Quinta das Camelias;2012;1204148;Reserva 2012;Red;3.8;321;7.9;Portugal;Dão
Herdade Monte Da Cal;2012;1364354;Reserva Tinto 2012;Red;3.8;405;10.9;Portugal;Alentejo
Quinta Casa Amarela;2012;1440767;Selection Tinto 2012;Red;3.8;226;14.98;Portugal;Douro
Quinta de Baixo;2012;3751296;Syrah 2012;Red;3.8;83;28.73;Portugal;Bairrada
Quinta da Alorna;2012;1247055;Touriga Nacional - Cabernet Sauvignon Reserva 2012;Red;3.8;884;7.95;Portugal;Tejo
Companhia das Lezírias;2012;3066545;Tyto Alba Tinto 2012;Red;3.8;624;8.08;Portugal;Tejo
Adega Regional de Colares;2012;1438794;Arenae Tinto 2012;Red;3.9;141;28.0;Portugal;Colares
Quinta da Alorna;2012;1224579;Colheita Tardia Branco 2012;Dessert;3.9;61;29.95;Portugal;Tejo
Quinta dos Vales;2012;1906212;Dialog Tinto 2012;Red;3.9;64;25.4;Portugal;Algarve
São Domingos;2012;1391888;Grande Escolha 2012;Red;3.9;78;13.2;Portugal;Bairrada
Quinta do Monte d'Oiro;2012;1203197;Lybra Syrah 2012;Red;3.9;410;13.49;Portugal;Lisboa
Quinta do Frances;2012;1768258;Odelouca River Valley Tinto 2012;Red;3.9;126;34.99;Portugal;Algarve
Brejinho da Costa;2012;4718654;Reserva Tinto 2012;Red;3.9;99;12.4;Portugal;Península de Setúbal
Fonte do Ouro;2012;2424181;Tinto Reserva 2012;Red;3.9;176;14.9;Portugal;Dão
Quinta das Carvalhas;2012;9093;Douro 'Carvalhas' Vinhas Velhas 2012;Red;4.0;208;39.5;Portugal;Douro
Mau Feitio;2012;5942476;Douro Tinto 2012;Red;4.0;149;15.8;Portugal;Douro
Ribeiro Santo;2012;2100836;Grande Escolha 2012;Red;4.0;89;22.8;Portugal;Dão
Monte dos Cabacos;2012;1422153;Margarita Tinto 2012;Red;4.0;100;27.5;Portugal;Alentejo
CARM;2012;1157592;Reserva Tinto 2012;Red;4.0;716;16.94;Portugal;Douro
Conceito;2012;2243228;Tinto 2012;Red;4.0;175;33.5;Portugal;Douro
Ribeiro Santo;2012;1810737;Touriga Nacional 2012;Red;4.0;113;35.85;Portugal;Dão
Manuel Joaquim Pinto (MJP);2012;1243287;Casa da Palmeira Reserva 2012;Red;4.1;70;9.5;Portugal;Douro
Paulo Laureano;2012;1681822;Dolium Reserva 2012;Red;4.1;181;50.0;Portugal;Alentejo
Vallegre;2012;1922093;Douro Reserva Especial Vinhas Velhas 2012;Red;4.1;128;33.0;Portugal;Douro
Churchill's;2012;1651607;Estates Grande Reserva Douro 2012;Red;4.1;230;35.0;Portugal;Douro
Horta Osorio;2012;3909762;Grande Escolha 2012;Red;4.1;75;59.95;Portugal;Douro
Quinta do Pôpa;2012;3190986;Pôpa TN 2012;Red;4.1;81;21.9;Portugal;Douro
Quinta dos Três Maninhos;2012;1857169;Reserva 2012;Red;4.1;78;26.95;Portugal;Beiras
Herdade de Coelheiros;2012;1287347;Tapada de Coelheiros 2012;Red;4.1;483;55.92;Portugal;Alentejo
Paulo Laureano;2012;2027650;Touriga Nacional Alentejo Selectio 2012;Red;4.1;141;29.95;Portugal;Alentejo
Herdade da Calada;2012;1435733;Block No. 3 2012;Red;4.2;66;38.95;Portugal;Alentejo
Quinta dos Carvalhais;2012;76106;Dão Reserva Tinto 2012;Red;4.2;279;32.95;Portugal;Dão
Niepoort;2012;1267265;Doda 2012;Red;4.2;381;32.25;Portugal;Dão
Quinta das Camelias;2012;5260318;Garrafeira 2012;Red;4.2;74;16.06;Portugal;Dão
Solar dos Lobos;2012;1418817;Grande Escolha 2012;Red;4.2;79;26.95;Portugal;Alentejo
Quinta da Pellada;2012;1214838;Pape 2012;Red;4.2;316;47.9;Portugal;Dão
Quinta dos Murças;2012;1198198;Reserva Douro 2012;Red;4.2;1575;24.95;Portugal;Douro
Quinta da Romaneira;2012;1201768;Reserva Tinto 2012;Red;4.2;323;50.0;Portugal;Douro
Casa Agrícola HMR;2012;3100642;Marmelar 2012;Red;4.3;162;75.0;Portugal;Alentejo
Monte da Ravasqueira;2012;3862528;Premium Tinto 2012;Red;4.3;454;39.0;Portugal;Alentejo
Herdade de Coelheiros;2012;1208656;Tapada de Coelheiros Garrafeira 2012;Red;4.3;103;69.1;Portugal;Alentejo
Mouchão;2012;76439;Tinto 2012;Red;4.3;843;60.0;Portugal;Alentejo
Quinta do Vesuvio;2012;1222575;Douro 2012;Red;4.4;717;95.0;Portugal;Douro
Colinas de São Lourenço;2012;1548080;Principal Grande Reserva Bairrada 2012;Red;4.4;153;112.38;Portugal;Bairrada
Nicolau de Almeida;2012;1846109;Quinta do Monte Xisto Tinto 2012;Red;4.4;194;68.0;Portugal;Douro
Quinta do Mouro;2012;2037178;Gold Label 2012;Red;4.5;157;79.95;Portugal;Alentejo
Quinta do Crasto;2012;1751269;Touriga Nacional 2012;Red;4.5;271;55.1;Portugal;Douro
Quinta dos Aciprestes;2012;6106031;Grande Reserva Sousão 2012;Red;4.6;107;45.0;Portugal;Douro
Duvalley;2012;1545352;Grande Reserva Tinto 2012;Red;4.6;105;50.09;Portugal;Douro
Quinta dos Murças;2012;5552276;VV47 2012;Red;4.6;78;60.0;Portugal;Douro
Pátria;2013;3743958;Alentejo Reserva 2013;Red;3.3;244;3.59;Portugal;Alentejo
Quinta de São Sebastião;2013;2646730;Colheita 2013;Red;3.3;53;6.95;Portugal;Lisboa
Campolargo;2013;78236;Vinha do Putto Tinto 2013;Red;3.3;744;5.41;Portugal;Bairrada
Cabriz;2013;1639509;Colheita Seleccionada Tinto 2013;Red;3.4;1238;6.95;Portugal;Dão
Quinta do Pôpa;2013;1192943;Contos da Terra Tinto 2013;Red;3.5;163;5.95;Portugal;Douro
Quinta dos Carvalhais;2013;76101;Duque de Viseu Tinto 2013;Red;3.5;284;7.99;Portugal;Dão
Nunes Barata;2013;2168321;Tinto 2013;Red;3.5;60;5.95;Portugal;Alentejo
Quinta Vale do Ruivo;2013;4933890;Vinhas Velhas Reserva Tinto 2013;Red;3.5;56;7.5;Portugal;Beiras
Quinta do Portal;2013;1380962;Colheita Red 2013;Red;3.6;1428;75.03;Portugal;Douro
Vadio;2013;1265507;Tinto 2013;Red;3.6;328;37.0;Portugal;Bairrada
Cortes de Cima;2013;2376360;Chaminé Tinto 2013;Red;3.7;3819;16.81;Portugal;Alentejo
Ribafreixo Wines;2013;1664255;Gaudio Classico Reserva 2013;Red;3.7;88;21.1;Portugal;Alentejo
Calheiros Cruz;2013;1389592;Reserva 2013;Red;3.7;117;12.9;Portugal;Douro
Barranco Longo;2013;1430512;Reserva Syrah 2013;Red;3.7;55;15.42;Portugal;Algarve
